Event,Location,Date,Start,End,Image
"<span class=""hyphen""> Mittagsmusik </span>",Eglise Saint Jean Grund,29.08.2024,12:30,13:15,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/vacances-au-musee-ateliers-pour-enfants-avec-artesana-handmade-designs-9V1pgB/thumb_enfants-576x1024_main.jpg
Vacances au musée: Ateliers pour enfants avec ArteSana Handmade Designs,Lëtzebuerg City Museum,1.08,14:00,,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/what-s-looking-at-me-LX1QVv/thumb_la_raeven_main.jpg
Was blickt mich an?,Casino Luxembourg - Forum d'art contemporain,29.08.2024,19:00,20:00,https://storage.googleapis.com/lu-echo-prod-experiences/bTNUZIGhTXYt1leMtZgW/organ-recital-hq8Bbh/thumb_Foto-Cath-drale_main.jpg
"<span class=""hyphen""> Orgelvorspiel </span>",Cathédrale Notre-Dame,31.08.2024,11:00,11:30,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/what-s-looking-at-me-dybU8V/thumb_la_raeven_main.jpg
Was blickt mich an?,Casino Luxembourg - Forum d'art contemporain,31.08.2024,16:00,17:00,https://www.vdl.lu/sites/default/files/styles/thumbnail/public/media/image/2024-07/Digital%20use%20small-BJR%202019%20Print%20%C2%A9%20Marc%20Lazzarini%20standart%20%2871%20of%20301%29.png?itok=GDOk7rSb
Family tour,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,4.08,10:00,,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/familytour-svdGbM/thumb_md_mudam_18mai_7041_main.jpg
"Malen auf unerwarteten <span class=""hyphen"">Untergründen </span>",Nationalmusée um Fëschmaart,28.08,17:30,,https://storage.googleapis.com/lu-echo-prod-experiences/1dCexH4ccV3szukuVqtcJd/painting-on-unexpected-surfaces-Gxui2v/thumb_TOM6530_main.jpg
Vacances au musée: Ateliers avec ArteSana Handmade Designs – Bijoux,Lëtzebuerg City Museum,21.07,14:30,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/vacances-au-musee-ateliers-avec-artesana-handmade-designs-bijoux-LOfUz2/thumb_bijoux-576x1024_main.jpg
Villa Plage: Dripping,Villa Vauban - Musée d'Art de la Ville de Luxembourg,22.07,10:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/villa-plage-dripping-amY6Lz/thumb_dripping-768x1024_main.jpg
Grande Braderie,Cityshopping Infopoint,02.09.2024,9:00,19:00,https://storage.googleapis.com/lu-echo-prod-experiences/FrhxZ0Kc44cz0u4wR9CF/grande-braderie-9hfz2J/thumb_ECHO-LU_main.jpg
Swing Social Dance,Rotondes,02.09.2024,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/swing-social-dance-8n311v/thumb_2024-25_Swing-Dance_Outdoor_main.png
Vacances au musée: Collage en 3D,Lëtzebuerg City Museum,23.07,10:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/vacances-au-musee-collage-en-3d-WiFX2Z/thumb_collage-scaled-e1717163595846-683x1024_main.jpg
Villa Plage: Peindre aves les ciseaux,Villa Vauban - Musée d'Art de la Ville de Luxembourg,17.07,10:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/villa-plage-peindre-aves-les-ciseaux-YNoEve/thumb_ciseaux-1024x768_main.jpg
Der Tempel der vergessenen Gegenstände,Casino Luxembourg - Forum d'art contemporain,04.09.2024,9:00,16:30,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/the-temple-of-forgotten-objects-Z3yrtE/thumb_atelier-20de-20vacances-20Romain-20Fassotte_main.jpeg
"Eicheln, Bucheckern und andere Früchte",Arboretum du Kirchberg (Parcs Réimerwee et Central),04.09.2024,18:00,19:30,https://storage.googleapis.com/lu-echo-prod-experiences/9vLx8wWybgEskWXd7a8Au4/guided-tour-arboretum-acorns-beechnuts-and-other-fruits-25aZj5/thumb_https___cdn-evbuc-com_images_498023699_1342300245213_1_original_main.jpg
Wednesday Night Fever | Mit Board Game Nights,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,04.09.2024,18:30,20:30,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/wednesday-night-fever-with-board-game-nights-c6zW4g/thumb_24_04_10_WN_Boardgame-Nights_main.jpg
"<span class=""hyphen""> Mittagsmusik </span>",Eglise Saint Michel,05.09.2024,12:30,13:15,https://storage.googleapis.com/lu-echo-prod-experiences/1dCexH4ccV3szukuVqtcJd/la-revolution-de-1974-des-rues-de-lisbonne-au-luxembourg-_Epn5m/thumb_TOM5478_main.jpg
La révolution de 1974. Des rues de Lisbonne au Luxembourg,Nationalmusée um Fëschmaart,8.08,18:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/vacances-au-musee-summer-wine-JjaQtp/thumb_Blitzagency_9623-2_main.jpg
Vacances au musée: Summer Wine,Lëtzebuerg City Museum,05.09.2024,18:00,21:15,https://storage.googleapis.com/lu-echo-prod-experiences/cA35FvKjdxfBgM2GyYj9za/a-t-on-toujours-raison-which-witch-are-you-tIIrES/thumb_21449_main.jpg
A-t-on toujours raison? Which Witch Are You?,neimënster - Centre Culturel de Rencontre Abbaye de Neumünster,05.09.2024,20:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/villa-plage-monochromatic-kpDEBv/thumb_monochrome-768x1024_main.jpg
"Villa Plage: <span class=""hyphen"">Monochromatic </span>",Villa Vauban - Musée d'Art de la Ville de Luxembourg,9.08,14:00,18:00,https://www.vdl.lu/sites/default/files/styles/thumbnail/public/media/image/2024-07/Digital%20use%20small-BJR%202019%20Print%20%C2%A9%20Marc%20Lazzarini%20standart%20%2871%20of%20301%29.png?itok=GDOk7rSb
Villa Plage: Summer Wine,Villa Vauban - Musée d'Art de la Ville de Luxembourg,06.09.2024,18:00,21:15,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/villa-plage-summer-wine-5fMg4w/thumb_Heidelberger-Mascaret-CW-1-1024x759_main.jpg
Personne n'est ensemble sauf moi - Une ode à la singularité,neimënster - Centre Culturel de Rencontre Abbaye de Neumünster,06.09.2024,20:00,,https://storage.googleapis.com/lu-echo-prod-experiences/cA35FvKjdxfBgM2GyYj9za/personne-n-est-ensemble-sauf-moi-X2XD_u/thumb_21237-eil_main.jpg
Villa Plage: Histoires en plein air,Villa Vauban - Musée d'Art de la Ville de Luxembourg,27.07,10:30,11:30,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/villa-plage-histoires-en-plein-air-Cl0Yar/thumb_Tuffi-619x1024_main.jpg
"<span class=""hyphen""> Orgelvorspiel </span>",Cathédrale Notre-Dame,07.09.2024,11:00,,https://storage.googleapis.com/lu-echo-prod-experiences/bTNUZIGhTXYt1leMtZgW/organ-recital-fMB_jb/Foto-Cath-drale_main.jpg
Vacances au museé: Vitraux en papier,Lëtzebuerg City Museum,20.07,14:00,14:45,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/vacances-au-musee-vitraux-en-papier-kUbZzq/thumb_vitraux-683x1024_main.jpg
Guided tour in easy language,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,07.09.2024,10:00,21:30,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/guided-tour-in-easy-language-Sw0C62/thumb_image_2022-08-30-121406_tqcd_main.png
"ännie, bastard & 1 prinz",neimënster - Centre Culturel de Rencontre Abbaye de Neumünster,07.09.2024,19:00,11:45,https://storage.googleapis.com/lu-echo-prod-experiences/cA35FvKjdxfBgM2GyYj9za/annie-bastard-1-prinz-2p5JHH/thumb_21208-eil_main.jpg
Narrated tour (EN),Casino Luxembourg - Forum d'art contemporain,08.09.2024,11:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/narrated-tour-en-C6Sofi/thumb_visite-20conte-CC-81e-20MLW_main.jpg
Narrated tour (EN),Casino Luxembourg - Forum d'art contemporain,08.09.2024,11:00,11:45,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/narrated-tour-en-NVg4_m/thumb_visite-20conte-CC-81e-20MLW_main.jpg
Nos Petits Penchants,neimënster - Centre Culturel de Rencontre Abbaye de Neumünster,08.09.2024,11:00,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/cA35FvKjdxfBgM2GyYj9za/nos-petits-penchants-wVgef9/thumb_21451_main.jpg
Tour for children with grandma and grandpa,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,30.07,15:00,,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/tour-for-children-with-grandma-and-grandpa-3CqLKu/thumb_md_mudam_18mai_6999_main.jpg
Visite pour enfants avec Mamie et Papi,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,23.07,15:00,,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/visite-pour-enfants-avec-mamie-et-papi-WLzCfS/thumb_md_mudam_18mai_7041_main.jpg
Visite Mudamini,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,17.07,15:00,,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/visite-pour-enfants-mzliWI/thumb_2024-02-08_MUDAM-077-web_main.jpg
GeoGuessr für Familien,ErwuesseBildung,11.09.2024,14:00,16:00,https://storage.googleapis.com/lu-echo-prod-experiences/AUk-8obk9cWhsbxUBPNu/geoguessr-fur-familien-bPYmt8/thumb_anukrati-omar-ZsZTeWZ-64Y-unsplash-1536x1028-2_main.jpg
"Visitt op <span class=""hyphen"">Lëtzebuergesch</span> <span class=""hyphen"">""Jean-Christophe</span> <span class=""hyphen"">Quinton"" </span>",luca – Luxembourg Center for Architecture,12.09.2024,13:00,13:45,https://storage.googleapis.com/lu-echo-prod-experiences/oB0c1cl49l9M4BLaWGUJ/visite-guidee-en-francais-jean-christophe-quinton-Sn5Oqn/thumb_JULIENLELIEVRE-BB-QUINTON_A31A2671_CR_LR_main.jpg
Villa Plage: Mix it up,Villa Vauban - Musée d'Art de la Ville de Luxembourg,1.08,14:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/villa-plage-mix-it-up-nGyQLh/thumb_mix-1024x768_main.jpg
Vacances au musée: atelier avec Les Lovers – Workshop de broderie (trousse),Lëtzebuerg City Museum,12.09.2024,18:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/vacances-au-musee-atelier-avec-les-lovers-workshop-de-broderie-trousse-ALATw7/thumb_trousse_main.jpg
NT Live : Nye,Ciné Utopia,12.09.2024,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/pNQ5Po_FRHQCyQmVAMr-/nt-live-nye-5cMy3M/thumb_nye_hero_main.jpg
Vacances au musée: Gelli Print,Lëtzebuerg City Museum,2.08,14:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/vacances-au-musee-gelli-print-IaDP5h/thumb_gelli-scaled-e1717164222297-683x1024_main.jpg
Mudamini Visitt,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,19.07,15:00,11:45,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/visitt-fir-kanner-l79q1F/thumb_md_mudam_18mai_6988_main.jpg
Villa Plage: atelier avec Les Lovers – Peinture sur céramique,Villa Vauban - Musée d'Art de la Ville de Luxembourg,13.09.2024,18:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/villa-plage-atelier-avec-les-lovers-peinture-sur-ceramique-LKiHI_/thumb_ceramique_main.jpg
Sommerkurse zur nachhaltige Entwicklung - EN,Université du Luxembourg - Campus Limpertsberg,9.09,19:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/ADLKoMsKdZX3XuNXDiUl/summer-workshop-on-sustainability-wD5XqE/thumb_ScLab_Website_Workshops_TopPics_Small-scaled_main.jpg
"<span class=""hyphen""> Orgelkonzert </span>",Cathédrale Notre-Dame,14.09.2024,11:00,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/bTNUZIGhTXYt1leMtZgW/organ-recital-rDAJah/thumb_Foto-Cath-drale_main.jpg
"Komm mat an d’Natur- eine <span class=""hyphen"">Familienwanderung </span>",Luxemburg,14.09.2024,14:30,17:30,https://storage.googleapis.com/lu-echo-prod-experiences/AUk-8obk9cWhsbxUBPNu/komm-mat-an-d-natur-eine-familienwanderung-n_KX6l/thumb_csm_heruday-gebasteltes-gesicht_b1dd058a35_main.jpg
LOA by Post 2024,Place de l'Europe,13.09,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/ynKji45ZkhCVAnOVVnj0/6A8HX0zrihSQfPiMvr9UlT-quD0s0/IMG_8373-min_main.JPG
"<span class=""hyphen""> Familienführung </span>",Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,11.08,10:00,,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/familienfuhrung-k9oW5j/thumb_md_mudam_18mai_7005_main.jpg
"<span class=""hyphen""> Collections/Revelations.</span> Modern and contemporary art",Nationalmusée um Fëschmaart,28.07,15:00,,https://storage.googleapis.com/lu-echo-prod-experiences/1dCexH4ccV3szukuVqtcJd/collections-revelations-ZOlx9N/thumb_Lapicque1963-021-001_r-001_main.jpg
Summer Show,Galerie Schortgen,26.07,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/tzCyca9y-YFuDNRrIRPg/summer-show-YEkItA/thumb_1_main.jpg
Carte blanche: Mathieu Clement,Café littéraire Le Bovary,17.09.2024,20:30,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/AcUZVGZlwalFhkdj6Abg/carte-blanche-mathieu-clement-9k-krS/thumb_Mathieu-Clement-by-Gerhard-Richter_main.jpg
New in!,Nationalmusée um Fëschmaart,18.09.2024,12:30,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/1dCexH4ccV3szukuVqtcJd/new-in-O8IXmh/thumb_h-bsch_main.jpg
Screenings on Inclusion - A Blue Morning,Cercle Cité,18.09.2024,18:00,19:00,https://storage.googleapis.com/lu-echo-prod-experiences/vWKvKcB6gt1033eS-Z6W/screenings-on-inclusion-a-blue-morning-lvoJ7t/thumb_Banner_web_ABlueMorning_main.png
Sama Feldt,den Atelier,20.09.2024,19:00,11:45,https://storage.googleapis.com/lu-echo-prod-experiences/h3eQDfOmZb7PwFx13EgU/sama-feldt-74UAkL/thumb_FBEVENT_SamFeldt_main.jpg
"<span class=""hyphen""> Orgelkonzert </span>",Cathédrale Notre-Dame,21.09.2024,11:00,,https://storage.googleapis.com/lu-echo-prod-experiences/bTNUZIGhTXYt1leMtZgW/organ-recital-rDAJah/thumb_Foto-Cath-drale_main.jpg
On Stéitsch,Rotondes,21.09.2024,14:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/on-steitsch-NNw6-V/thumb_On-Steitsch-SNJPhilbo_main.jpg
Mudam Speaks,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,20.07,14:00,16:00,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/mudam-speaks-yL8MWE/thumb_Su_Mei_Tse_many_spoken_words_mudam_collection_main.jpg
la Fête 2gether,parc laval,21.09.2024,11:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/1CBkaif9Pq-Kftes5G3U/la-fete-2gether-pQ24Zi/thumb_MDJA-2gether_A5_FINAL-1-_main.jpg
A NIGHT FOR THE DEAD,RockBox,21.09.2024,19:00,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/JWnys4jd32woqvWsn16m/a-night-for-the-dead-Bd7dt2/thumb_NIGHT-FOR-THE-DEAD-EVENTV2-copie_main.jpg
Toucher & être touché(e),Ciné Utopia,24.09.2024,18:30,20:30,https://storage.googleapis.com/lu-echo-prod-experiences/6kJn3vEzda_FQk6KLGQQ/toucher-etre-touche-e-sUNmrF/thumb_ConferenceToucher_FB-Event-Cover_main.jpg
Artemysia Théâtre Open Day,Cercle de Coopération des ONGD du Luxembourg,24.09.2024,19:00,21:00,https://storage.googleapis.com/lu-echo-prod-experiences/PEQUvvHRS_ibgnZFyFvJ/artemysia-theatre-open-day-J-dLzf/thumb__DSC3745_main.jpg
Open Floor: House Dance,Rotondes,4.09,19:30,,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/open-floor-house-dance-DJi2Jk/thumb_Open-Floor-House-Dance-Franklin-c-Simon_studi0_main.jpg
Artemysia Théâtre Open Day,Cercle de Coopération des ONGD du Luxembourg,26.09.2024,17:15,18:45,https://storage.googleapis.com/lu-echo-prod-experiences/PEQUvvHRS_ibgnZFyFvJ/artemysia-theatre-open-day-E4enjP/thumb_teatro-it-teatro-bambini-01_main.jpg
"Die Folgen der <span class=""hyphen"">Nelkenrevolution</span> in Portugal und Luxemburg",Nationalmusée um Fëschmaart,26.09.2024,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/1dCexH4ccV3szukuVqtcJd/the-consequences-of-the-carnation-revolution-in-portugal-and-luxembourg-77IOm0/thumb_Visuel-Exposition-Revolution-des-oeillets_2024-05-08-093645_nhbd_main.jpg
Open Floor: Hip Hop Dance,Rotondes,5.09,20:00,,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/open-floor-hip-hop-dance-PoGg3n/thumb_Open-floor-hip-hop-dance-Hip-Hop-c-Pacini-Merian_main.jpg
Dom Juan,Grand Théâtre de la Ville de Luxembourg,25.09,20:00,11:45,https://storage.googleapis.com/lu-echo-prod-experiences/TBMRV7IzxEtChQAVmg7d/dom-juan-XznvnE/thumb_Les-20Theatres-20de-20la-20Ville-20de-20Luxembourg_Dom-20Juan_main.jpg
"<span class=""hyphen""> Orgelkonzert </span>",Cathédrale Notre-Dame,28.09.2024,11:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/bTNUZIGhTXYt1leMtZgW/organ-recital-rDAJah/thumb_Foto-Cath-drale_main.jpg
Guided tour of the Kirchberg plateau,Fonds Kirchberg,28.09.2024,10:00,12:00,https://storage.googleapis.com/lu-echo-prod-experiences/XTtdW79XSxdkKqxeXjG8/guided-tours-of-the-kirchberg-plateau-RF1ss7/thumb_banner_youtube_main.jpg
Fashion swap,Rotondes,28.09.2024,14:00,22:00,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/fashion-swap-sDxK1w/thumb_Fashion-swap-3_main.jpg
"<span class=""hyphen""> L’Expérience</span> de l’impact",Théâtre des Capucins,28.09.2024,20:00,29.09,https://storage.googleapis.com/lu-echo-prod-experiences/TBMRV7IzxEtChQAVmg7d/l-experience-de-l-impact-b4am4l/thumb_Les-20Theatres-20de-20la-20Ville-20de-20Luxembourg_L-27exp-C3-A9rience-20de-20l-27impact_0_main.jpg
Empty Nest,Rotondes,28.09,,,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/empty-nest-Lm3klB/thumb_Empty-Nest-2_main.jpg
Super Maart,Rotondes,28.09,10:00,,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/super-maart-WGtMzA/thumb_20221001-DSCF9012-Gilles-Kayser_main.jpg
"Découverte de la couleur dans <span class=""hyphen"">l'aquarelle </span>",Nationalmusée um Fëschmaart,27.07,14:00,,https://storage.googleapis.com/lu-echo-prod-experiences/1dCexH4ccV3szukuVqtcJd/decouverte-de-l-aquarelle-inspiree-par-l-exposition-d-erwin-olaf-et-hans-op-de-beeck-M503tT/thumb_mnha_230309_0178_main.jpg
La révolution de 1974. Des rues de Lisbonne au Luxembourg,Nationalmusée um Fëschmaart,18.08,15:00,23:59,https://storage.googleapis.com/lu-echo-prod-experiences/1dCexH4ccV3szukuVqtcJd/la-revolution-de-1974-des-rues-de-lisbonne-au-luxembourg-qDdpY0/thumb_Visuel-Exposition-Revolution-des-oeillets_2024-04-25-103605_yani_main.jpg
Discovery | Course for Ages 7-10 in English,Kids Life Skills - PwC Academy,29.09.2024,13:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/JNC0R89aeYOo3XWHpmhi/discovery-course-for-ages-7-10-in-english-I9A4yt/thumb_Discovery-Facebook-Event-1720-1005-px-1-_main.png
Im Osten viel Neues – Concert du 35e anniversaire,Philharmonie Luxembourg,30.09.2024,19:30,21:30,https://storage.googleapis.com/lu-echo-prod-experiences/u3vzyP34MvEY44iLJCX7GS/im-osten-viel-neues-concert-du-35e-anniversaire-gd827V/thumb_Vadim_Gluzman-Marco_Borggreve_2_main.jpg
Smartphone 1,ErwuesseBildung,24.09,10:00,,https://storage.googleapis.com/lu-echo-prod-experiences/AUk-8obk9cWhsbxUBPNu/smartphone-1-AXCaPm/thumb_przemyslaw-marczynski-oCfkSnqZ0SI-unsplash-bearbeitet-bearbeitet-1536x1024-4_main.jpg
Bhaji on the Beach,Rotondes,01.10.2024,19:00,20:00,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/bhaji-on-the-beach-3-t_pj/thumb_c-Bhaji-on-the-beach_main.jpg
"CONCERT ACTART: B. SMETANA ET L. JANÁCEK – 2 <span class=""hyphen"">ANNIVERSAIRES </span>",Conservatoire de la Ville de Luxembourg,01.10.2024,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/hu9SQRNKVgfjZAYN2uFCBu/concert-actart-b-smetana-et-l-janacek-2-anniversaires-Egnom2/thumb_Robotkova-scaled_main.jpg
Carte blanche: Paul Wiltgen,Café littéraire Le Bovary,01.10.2024,20:30,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/AcUZVGZlwalFhkdj6Abg/carte-blanche-paul-wiltgen-T86ui4/thumb_Paul-Wiltgen-2020-by-Gerhard-Richter_main.jpg
"Au creux de <span class=""hyphen"">l'oreille </span>",Rotondes,28.09,10:30,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/au-creux-de-l-oreille-wfkHCH/thumb_PicCo-ACDLO-photos-224_main.jpg
"<span class=""hyphen""> Luxembourg's</span> Science Slam",Cercle Cité,04.10.2024,19:00,22:00,https://storage.googleapis.com/lu-echo-prod-experiences/eXo9DZCiY9uD7a25LxP3/luxembourg-s-science-slam-5fQsxu/thumb_Science-Slam-2024-Poster_small_main.jpg
"<span class=""hyphen""> Orgelkonzert </span>",Cathédrale Notre-Dame,05.10.2024,11:00,11:45,https://storage.googleapis.com/lu-echo-prod-experiences/bTNUZIGhTXYt1leMtZgW/organ-recital-rDAJah/thumb_Foto-Cath-drale_main.jpg
"Masterclass <span class=""hyphen"">professionnelle </span>",Grand Théâtre de la Ville de Luxembourg,05.10.2024,11:00,13:00,https://storage.googleapis.com/lu-echo-prod-experiences/TBMRV7IzxEtChQAVmg7d/masterclass-professionnelle-16j7KU/thumb_Les-20Theatres-20de-20la-20Ville-20de-20Luxembourg_Tanztheater-20Wuppertal_main.jpg
Open Day,"Centre national sportif & culturel ""d'Coque""",06.10.2024,11:00,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/h81gDiP7NTTnngmnP3Js/open-day-7sELsc/thumb_OPENDAY-LOGO_main.jpg
Tanztheater Wuppertal Pina Bausch + Terrain,Grand Théâtre de la Ville de Luxembourg,4.1,20:00,,https://storage.googleapis.com/lu-echo-prod-experiences/TBMRV7IzxEtChQAVmg7d/tanztheater-wuppertal-pina-bausch-terrain-m1MVLh/thumb_Les-20Theatres-20de-20la-20Ville-20de-20Luxembourg_Tanztheater-20Wuppertal_main.jpg
The Clockworks,Rotondes,06.10.2024,20:30,,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/the-clockworks-xg-s6C/thumb_DSC00768_main.jpg
The Good Guy?,neimënster - Centre Culturel de Rencontre Abbaye de Neumünster,4.1,19:30,,https://storage.googleapis.com/lu-echo-prod-experiences/cA35FvKjdxfBgM2GyYj9za/the-good-guy-iWBLh6/thumb_20002_main.jpg
Songes d'une Nuit,Grand Théâtre de la Ville de Luxembourg,26.09,20:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/TBMRV7IzxEtChQAVmg7d/songes-d-une-nuit-gQoqTB/thumb_SONGES-20-28c-29-20Bohumil-20KOSTOHRYZ-202538_main.jpg
Alle Menschen werden Brüder,Philharmonie Luxembourg,07.10.2024,19:30,21:30,https://storage.googleapis.com/lu-echo-prod-experiences/u3vzyP34MvEY44iLJCX7GS/alle-menschen-werden-bruder-VtQMVe/thumb_Jan-Voboril-photo_main.JPG
Tabaluga und Lilli,Conservatoire de la Ville de Luxembourg,09.10.2024,16:30,19:30,https://storage.googleapis.com/lu-echo-prod-experiences/LtnKpnOcQaoLnD9w59NY/tabaluga-und-lilli-nUST80/thumb_c5fa47c8a2a4f79a1fe4f3f5cc2463d3_main.png
"Blumen, Früchte, Samen im Herbst",Arboretum du Kirchberg (Parc Klosegroendchen),09.10.2024,18:00,11:45,https://storage.googleapis.com/lu-echo-prod-experiences/9vLx8wWybgEskWXd7a8Au4/flowers-fruits-seeds-in-autumn-DqyB5K/thumb_https___cdn-evbuc-com_images_498041539_1342300245213_1_original_main.jpg
Wellbeing – Mental Noise,Rotondes,10.10.2024,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/wellbeing-mental-noise-SRLRXM/thumb_Wellbeing-BB-2-Ruben-Dos-Santos_main.jpg
Goat Girl,Rotondes,10.10.2024,20:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/goat-girl-Ik4LFo/thumb_Goat-Girl_main.jpeg
"<span class=""hyphen""> Orgelkonzert </span>",Cathédrale Notre-Dame,12.10.2024,11:00,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/bTNUZIGhTXYt1leMtZgW/organ-recital-rDAJah/thumb_Foto-Cath-drale_main.jpg
"Opéra MET Live : Les Contes <span class=""hyphen"">d'Hoffmann </span>",Ciné Utopia,5.1,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/pNQ5Po_FRHQCyQmVAMr-/opera-met-live-les-contes-d-hoffmann-ugsrz2/thumb_2425_METOpera_Slide-B2C-Flat_main.jpg
Public forum,Rotondes,14.10.2024,18:30,13:15,https://storage.googleapis.com/lu-echo-prod-experiences/pINu4mSMDO3npx9DerXR/public-forum-9B0wE1/thumb_2_main.jpg
Screenings on Inclusion - Borders of exclusion,Cercle Cité,16.10.2024,12:30,20:00,https://storage.googleapis.com/lu-echo-prod-experiences/vWKvKcB6gt1033eS-Z6W/screenings-on-inclusion-borders-of-exclusion-wAvSzx/thumb_Banner_web_ThereArePeopleInTheForest_main.png
Luxembourg LGBTIQ+ Panel,Luxembourg-Ville,16.10.2024,18:00,,https://storage.googleapis.com/lu-echo-prod-experiences/orxhSud0rP6dHNtxVcio/luxembourg-lgbtiq-panel-wYz-UG/thumb_FG-8-Facebook-Event-Cover_main.png
