Event,Location,Date,Start,End,Image
Pippi Langstrumpf (Cinema Paradiso),Cinémathèque de la Ville de Luxembourg,22.09.2024,15:00,16:45,https://storage.googleapis.com/lu-echo-prod-experiences/j2vhe4qaVrzdu5kGdXLmDb/glacismaart-aJrmtg/thumb_md_vdl_glacismaart-06232_main.jpg
Glacismaart,Champs du Glacis,22.09.2024,10:00,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/in-cold-blood-truman-capote-jFjZXY/thumb_in-cold-blood-3_main.jpg
In Cold Blood (Truman Capote),Cinémathèque de la Ville de Luxembourg,22.09.2024,17:30,19:45,https://www.vdl.lu/sites/default/files/styles/thumbnail/public/media/image/2024-07/Digital%20use%20small-BJR%202019%20Print%20%C2%A9%20Marc%20Lazzarini%20standart%20%2871%20of%20301%29.png?itok=GDOk7rSb
Before Sunrise (Before Trilogy),Cinémathèque de la Ville de Luxembourg,22.09.2024,20:00,21:45,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/before-sunrise-before-trilogy-Gk-Tb9/thumb_Before-Sunrise_main.jpeg
Birdman or (The Unexpected Virtue of Ignorance) (Votez Cinéma),Cinémathèque de la Ville de Luxembourg,23.09.2024,19:00,21:00,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/birdman-or-the-unexpected-virtue-of-ignorance-votez-cinema-BMMZgm/thumb_Michael-Keaton-with-Birdman_cj_main.jpg
Spotlight (Votez Cinéma),Cinémathèque de la Ville de Luxembourg,24.09.2024,19:00,21:15,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/spotlight-votez-cinema-w8g7Wj/thumb_spotlight-2_main.jpg
Indiscretion of an American Wife (Truman Capote),Cinémathèque de la Ville de Luxembourg,25.09.2024,18:30,19:45,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/indiscretion-of-an-american-wife-truman-capote-nViVqN/thumb_stazione-termini-1_CJ_main.jpg
The Power of the Dog (Votez Cinéma),Cinémathèque de la Ville de Luxembourg,25.09.2024,20:00,22:15,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/the-power-of-the-dog-votez-cinema-GQ0gU6/thumb_the-power-of-the-dog-1_main.jpg
The Banshees of Inisherin (Votez Cinéma),Cinémathèque de la Ville de Luxembourg,26.09.2024,18:30,20:30,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/the-banshees-of-inisherin-votez-cinema-zyr46m/banshees-of-inisherin_main.jpg
Before Sunset (Before Trilogy),Cinémathèque de la Ville de Luxembourg,26.09.2024,20:45,22:15,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/before-sunset-before-trilogy-G-6GNk/thumb_Before-Sunset-1_main.jpg
